"star_id","const_id"
5586,"chinese-012"
5586,"dakota-007"
5586,"japanese_moon_stations-15"
5586,"korean-103"
5586,"navajo-004"
5586,"romanian-Psc"
5589,"chinese-057"
5589,"tupi-003"
5737,"chinese-262"
5737,"indian-N27"
5737,"korean-105"
5737,"romanian-Psc"
5742,"arabic-037"
5742,"chinese-012"
5742,"dakota-007"
5742,"japanese_moon_stations-15"
5742,"korean-103"
5742,"romanian-Psc"
5742,"western-Psc"
5914,"romanian-Psc"
5926,"chinese-101"
5951,"korean-106"
6061,"korean-106"
6193,"arabic-037"
6193,"arabic_moon_stations-028"
6193,"chinese-012"
6193,"dakota-007"
6193,"japanese_moon_stations-15"
6193,"korean-103"
6193,"western-Psc"
6242,"korean-099"
6315,"arabic_moon_stations-028"
6315,"chinese-012"
6315,"dakota-007"
6315,"romanian-Psc"
6371,"tukano-005"
6537,"arabic-015"
6537,"chinese-210"
6537,"korean-112"
6537,"romanian-Chi"
6537,"western-Cet"
6686,"arabic-012"
6686,"chinese-081"
6686,"egyptian-004"
6686,"hawaiian_starlines-IWA"
6686,"inuit-010"
6686,"korean-099"
6686,"macedonian-019"
6686,"mongolian-002"
6686,"navajo-002"
6686,"romanian-Tdz"
6686,"sami-001"
6686,"sardinian-010"
6686,"tongan-011"
6686,"tukano-005"
6686,"tupi-003"
6686,"western-Cas"
6692,"chinese-101"
6692,"tukano-005"
6706,"chinese-286"
6706,"dakota-007"
6813,"korean-108"
6867,"chinese-103"
6867,"western-Phe"
6960,"chinese-074"
6960,"korean-113"
6999,"chinese-215"
7007,"arabic-037"
7007,"chinese-262"
7007,"korean-105"
7007,"romanian-Psc"
7007,"western-Psc"
7078,"chinese-080"
7078,"chinese-101"
7083,"chinese-252"
7083,"western-Phe"
7097,"arabic-037"
7097,"chinese-286"
7097,"dakota-007"
7097,"korean-111"
7097,"romanian-Psc"
7097,"western-Psc"
7387,"boorong-Ydk"
7447,"korean-111"
7506,"boorong-Ydk"
7513,"chinese-215"
7513,"korean-108"
7535,"chinese-286"
7535,"korean-111"
7588,"arabic-025"
7588,"boorong-Ydk"
7588,"chinese-192"
7588,"western-Eri"
7607,"chinese-215"
7607,"korean-108"
7607,"navajo-004"
7607,"tukano-005"
7650,"chinese-101"
7679,"korean-113"
7699,"boorong-Ydk"
7710,"chinese-286"
7719,"chinese-215"
7740,"korean-111"
7751,"boorong-Ydk"
7818,"chinese-215"
7884,"arabic-037"
7884,"chinese-262"
7884,"dakota-007"
7884,"korean-105"
7884,"romanian-Psc"
7884,"western-Psc"
7965,"chinese-101"
7965,"tukano-005"
7984,"navajo-002"
8016,"chinese-080"
8068,"chinese-215"
8068,"korean-108"
8068,"navajo-004"
8102,"arabic-015"
8102,"chinese-210"
8102,"korean-112"
8102,"romanian-Chi"
8102,"western-Cet"
8198,"arabic-037"
8198,"chinese-286"
8198,"dakota-007"
8198,"romanian-Psc"
8198,"western-Psc"
8209,"korean-113"
8404,"romanian-Psc"
8626,"tukano-005"
8645,"arabic-015"
8645,"chinese-210"
8645,"korean-112"
8645,"romanian-Chi"
8645,"western-Cet"
8778,"romanian-Chi"
8796,"arabic-043"
8796,"dakota-008"
8796,"egyptian-006"
8796,"korean-104"
8796,"western-Tri"
8832,"arabic-005"
8832,"arabic_moon_stations-001"
8832,"belarusian-013"
8832,"chinese-014"
8832,"dakota-008"
8832,"indian-N01"
8832,"japanese_moon_stations-16"
8832,"korean-109"
8832,"romanian-Ber"
8832,"western-Ari"
8833,"arabic-037"
8833,"chinese-262"
8833,"dakota-007"
8833,"korean-105"
8833,"romanian-Psc"
8833,"western-Psc"
8837,"western-Phe"
8886,"arabic-012"
8886,"chinese-081"
8886,"egyptian-004"
8886,"hawaiian_starlines-IWA"
8886,"inuit-010"
8886,"korean-099"
8886,"mongolian-002"
8886,"navajo-002"
8886,"romanian-Tdz"
8886,"sami-001"
8886,"sardinian-010"
8886,"tongan-011"
8886,"tukano-005"
8886,"western-Cas"
8903,"arabic-005"
8903,"arabic_moon_stations-001"
8903,"belarusian-013"
8903,"chinese-014"
8903,"dakota-008"
8903,"indian-N01"
8903,"japanese_moon_stations-16"
8903,"korean-109"
8903,"romanian-Ber"
8903,"western-Ari"
8928,"chinese-182"
9007,"arabic-025"
9007,"chinese-252"
9007,"western-Eri"
9009,"chinese-101"
9021,"chinese-215"
9061,"chinese-074"
9110,"korean-111"
9236,"chinese-183"
9236,"western-Hyi"
9326,"chinese-210"
9347,"chinese-074"
9347,"korean-112"
9480,"chinese-080"
9480,"navajo-002"
9487,"arabic-037"
